Year,Track,Driver,NumPitStops,PitStopLaps,Compounds,TyreLife_max,AirTemp_mean,TrackTemp_mean,Humidity_mean,Rainfall_max,CircuitLength_first,TotalLaps_first,TrackType
2021,Abu Dhabi Grand Prix,ALO,1,[26.0],"['HARD', 'MEDIUM']",37.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,BOT,2,"[29.0, 46.0]","['MEDIUM', 'HARD']",35.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,GAS,1,[21.0],"['HARD', 'MEDIUM', 'MEDIUM', 'SOFT']",36.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,GIO,2,"[17.0, 30.0]","['MEDIUM', 'HARD']",17.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,HAM,3,"[40.0, 41.0, 42.0]","['MEDIUM', 'HARD']",17.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,LAT,1,[41.0],"['MEDIUM', 'HARD']",28.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,LEC,3,"[5.0, 24.0, 26.0]","['SOFT', 'HARD', 'HARD', 'MEDIUM']",20.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,MSC,1,[8.0],"['SOFT', 'HARD', 'HARD', 'SOFT']",42.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,NOR,2,"[12.0, 34.0]","['SOFT', 'HARD', 'HARD', 'MEDIUM']",31.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
2021,Abu Dhabi Grand Prix,OCO,3,"[39.0, 41.0, 49.0]","['SOFT', 'HARD']",18.0,24.519108280254777,28.4656050955414,59.05477707006369,False,,58,mixed
